method,event_id,set_idx,target,camera_id,raw_samples,accepted_samples,accepted_ratio,signed_median_mm,abs_median_mm,signed_rmse_mm,abs_p95_mm,centroid_base_m
A3,72,12,board,2,1187,1187,1.0,10.487227304944945,10.487227304944945,12.969500295381977,22.39003003298466,"[-0.2781945735255474, 0.4535332027976946, -0.0062585612314564835]"
A3,72,12,cube,2,245,245,1.0,0.906751960217774,2.214223406050596,10.539388588435603,19.53493485998251,"[-0.22339620810869706, 0.27479655237079975, 0.03097423069151234]"
A3,72,12,board,3,529,529,1.0,11.427916096933671,11.427916096933671,11.454216434354354,13.92330034088158,"[-0.2754230934186767, 0.498735484856697, -0.02940315014709763]"
A3,72,12,cube,3,173,173,1.0,-18.1228324014298,18.1228324014298,17.474235367499794,21.910321483699544,"[-0.24354281043643894, 0.27382434377433307, 0.004261490530892963]"
A4,24,4,board,0,546,546,1.0,-6.277233838304163,6.277233838304163,6.767226043240684,10.218984964332755,"[-0.2749680159616516, 0.48467482660993244, -0.022705836612492838]"
A4,24,4,cube,0,273,273,1.0,9.191974722642648,9.191974722642648,9.178305066371669,11.037668472196343,"[-0.2191278802681558, 0.6363488038299668, 0.005450858420166494]"
A4,24,4,board,1,451,451,1.0,5.644540392965324,5.644540392965324,5.657352379234615,7.021933657397291,"[-0.2872352046714115, 0.4060418431429412, -0.02146816364566157]"
A4,24,4,cube,1,156,156,1.0,9.660789392128954,9.660789392128954,9.658192187348774,11.928789105803272,"[-0.22904550868754717, 0.6319424210056672, 0.00657561097323556]"
A4,24,4,board,2,1196,1196,1.0,2.9904977951780896,3.017603315311015,5.840540349074528,11.520866060589578,"[-0.26803548880743466, 0.4481813866697819, -0.01232767045887733]"
A4,24,4,cube,2,201,201,1.0,-9.432733553361865,9.432733553361865,9.656307360888468,13.959839439547558,"[-0.20399052117221103, 0.6144021525115414, 0.022669806671906996]"
A4,24,4,board,3,568,568,1.0,8.202363924588116,8.202363924588116,8.287385692875427,9.662143502977463,"[-0.28777232249070966, 0.493726964786645, -0.024594072542878837]"
A4,24,4,cube,3,320,320,1.0,-8.246223033192171,8.246223033192171,7.544498694505766,9.997716025207337,"[-0.2347566696016105, 0.6510134806939629, 0.008089507489024341]"
A4,54,9,board,0,754,754,1.0,-6.26460747511775,6.26460747511775,6.709452495657465,10.256584849767943,"[-0.2863207953292936, 0.4642892405927527, -0.02251834683758756]"
A4,54,9,cube,0,150,150,1.0,0.2639091260261061,7.022894302676342,7.285495581217914,11.843190769809418,"[-0.4110969710224448, 0.3601523750817074, 0.008531499353252788]"
A4,54,9,board,1,467,467,1.0,5.754853076737122,5.754853076737122,5.77552307446905,7.0700640658550995,"[-0.2855801749381185, 0.41303586254791863, -0.021643592500748036]"
A4,54,9,cube,1,382,382,1.0,7.562617543627816,7.562617543627816,7.592080160018466,8.855094081701157,"[-0.4357273161285513, 0.3479214015701584, 0.013223894421660292]"
A4,54,9,board,2,1193,1193,1.0,-10.099551092070746,10.099551092070746,11.80724912691666,18.81938579454248,"[-0.27414444152499473, 0.45294796544386406, -0.005267439052546485]"
A4,54,9,cube,2,198,198,1.0,1.5437878625446082,7.688940886422028,7.914744122593439,10.855291747509451,"[-0.394895135028525, 0.354176876564601, 0.02743061967428211]"
A4,54,9,board,3,606,606,1.0,8.03422820131656,8.03422820131656,8.067596599588708,9.52710858294701,"[-0.28353270314241175, 0.4977240605668241, -0.02440053147153843]"
